"","Year","MonthOfYear","DayOfMonth","HourOfDay","MinutesOfHour","Month","DayOfWeek","DayOfYear","Action"
"4",2017,9,26,15,31,"Sep","Tue",269,"Toilet #1"
"9",2017,9,26,19,22,"Sep","Tue",269,"Toilet #1"
"12",2017,9,27,0,5,"Sep","Wed",270,"Toilet #1"
"14",2017,9,27,9,44,"Sep","Wed",270,"Toilet #1"
"20",2017,9,27,15,12,"Sep","Wed",270,"Toilet #1"
"22",2017,9,28,0,36,"Sep","Thu",271,"Toilet #1"
"23",2017,9,28,6,22,"Sep","Thu",271,"Toilet #1"
"26",2017,9,28,11,8,"Sep","Thu",271,"Toilet #1"
"28",2017,9,28,13,27,"Sep","Thu",271,"Toilet #1"
"30",2017,9,29,1,5,"Sep","Fri",272,"Toilet #1"
"32",2017,9,29,9,33,"Sep","Fri",272,"Toilet #1"
"34",2017,9,29,12,8,"Sep","Fri",272,"Toilet #1"
"36",2017,9,29,19,58,"Sep","Fri",272,"Toilet #1"
"37",2017,9,29,22,5,"Sep","Fri",272,"Toilet #1"
"39",2017,9,29,23,9,"Sep","Fri",272,"Toilet #1"
"41",2017,9,30,8,38,"Sep","Sat",273,"Toilet #1"
"44",2017,10,1,7,12,"Oct","Sun",274,"Toilet #1"
"47",2017,10,1,13,4,"Oct","Sun",274,"Toilet #1"
"51",2017,10,1,17,53,"Oct","Sun",274,"Toilet #1"
"55",2017,10,1,22,19,"Oct","Sun",274,"Toilet #1"
"56",2017,10,2,0,1,"Oct","Mon",275,"Toilet #1"
"58",2017,10,2,8,41,"Oct","Mon",275,"Toilet #1"
"62",2017,10,2,11,7,"Oct","Mon",275,"Toilet #1"
"63",2017,10,2,12,27,"Oct","Mon",275,"Toilet #1"
"65",2017,10,2,14,22,"Oct","Mon",275,"Toilet #1"
"68",2017,10,3,9,45,"Oct","Tue",276,"Toilet #1"
"72",2017,10,3,23,57,"Oct","Tue",276,"Toilet #1"
"73",2017,10,4,9,54,"Oct","Wed",277,"Toilet #1"
"78",2017,10,4,14,5,"Oct","Wed",277,"Toilet #1"
"80",2017,10,4,15,13,"Oct","Wed",277,"Toilet #1"
"81",2017,10,4,21,46,"Oct","Wed",277,"Toilet #1"
"83",2017,10,5,8,4,"Oct","Thu",278,"Toilet #1"
"87",2017,10,5,23,57,"Oct","Thu",278,"Toilet #1"
"88",2017,10,6,8,40,"Oct","Fri",279,"Toilet #1"
"89",2017,10,6,14,59,"Oct","Fri",279,"Toilet #1"
"92",2017,10,6,19,46,"Oct","Fri",279,"Toilet #1"
"96",2017,10,7,8,58,"Oct","Sat",280,"Toilet #1"
"97",2017,10,7,11,17,"Oct","Sat",280,"Toilet #1"
"103",2017,10,7,22,41,"Oct","Sat",280,"Toilet #1"
"105",2017,10,8,9,36,"Oct","Sun",281,"Toilet #1"
"106",2017,10,8,11,50,"Oct","Sun",281,"Toilet #1"
"112",2017,10,8,20,12,"Oct","Sun",281,"Toilet #1"
"113",2017,10,8,22,15,"Oct","Sun",281,"Toilet #1"
"114",2017,10,9,10,8,"Oct","Mon",282,"Toilet #1"
"118",2017,10,9,16,5,"Oct","Mon",282,"Toilet #1"
"120",2017,10,9,17,36,"Oct","Mon",282,"Toilet #1"
"124",2017,10,9,22,28,"Oct","Mon",282,"Toilet #1"
"125",2017,10,10,10,35,"Oct","Tue",283,"Toilet #1"
"127",2017,10,10,15,20,"Oct","Tue",283,"Toilet #1"
"132",2017,10,10,17,4,"Oct","Tue",283,"Toilet #1"
"133",2017,10,10,19,11,"Oct","Tue",283,"Toilet #1"
"134",2017,10,10,22,20,"Oct","Tue",283,"Toilet #1"
"136",2017,10,11,3,25,"Oct","Wed",284,"Toilet #1"
"137",2017,10,11,11,45,"Oct","Wed",284,"Toilet #1"
"141",2017,10,11,15,36,"Oct","Wed",284,"Toilet #1"
"144",2017,10,11,17,7,"Oct","Wed",284,"Toilet #1"
"145",2017,10,11,19,9,"Oct","Wed",284,"Toilet #1"
"146",2017,10,11,22,10,"Oct","Wed",284,"Toilet #1"
"147",2017,10,12,0,10,"Oct","Thu",285,"Toilet #1"
"148",2017,10,12,1,31,"Oct","Thu",285,"Toilet #1"
"153",2017,10,12,11,45,"Oct","Thu",285,"Toilet #1"
"156",2017,10,12,17,51,"Oct","Thu",285,"Toilet #1"
"158",2017,10,12,21,41,"Oct","Thu",285,"Toilet #1"
"159",2017,10,13,1,4,"Oct","Fri",286,"Toilet #1"
"161",2017,10,13,11,29,"Oct","Fri",286,"Toilet #1"
