"Milliseconds","timezoneOffset","timestamp","DayOfYear","DayOfMonth","DayOfWeek","TimeOfDay","_id","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","number","note","gpstime","gpsMilliseconds","name","latitude","longitude","accuracy","altitude","speed","bearing","lat_text","lon_text","street","city","state","country","zip"
"1506420217327","7200000","2017-09-26T12:03:37.327+02:00","269","26","Tuesday","12.060277777777777","8","Temperature Inside",,,,,,,,,"20",,,,,,,,,,,,,,,,,
"1506420285809","7200000","2017-09-26T12:04:45.809+02:00","269","26","Tuesday","12.079166666666667","9","Temperature Outside",,,,,,,,,"17",,,,,,,,,,,,,,,,,
"1506420307715","7200000","2017-09-26T12:05:07.715+02:00","269","26","Tuesday","12.085277777777778","10","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506432685703","7200000","2017-09-26T15:31:25.703+02:00","269","26","Tuesday","15.52361111111111","11","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506433526049","7200000","2017-09-26T15:45:26.049+02:00","269","26","Tuesday","15.757222222222222","12","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506439892851","7200000","2017-09-26T17:31:32.851+02:00","269","26","Tuesday","17.525555555555556","13","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506441978383","7200000","2017-09-26T18:06:18.383+02:00","269","26","Tuesday","18.105","14","Coffee",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506445979607","7200000","2017-09-26T19:12:59.607+02:00","269","26","Tuesday","19.21638888888889","15","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506446556619","7200000","2017-09-26T19:22:36.619+02:00","269","26","Tuesday","19.376666666666665","16","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506447195509","7200000","2017-09-26T19:33:15.509+02:00","269","26","Tuesday","19.554166666666667","17","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506452932065","7200000","2017-09-26T21:08:52.065+02:00","269","26","Tuesday","21.147777777777776","18","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506463505029","7200000","2017-09-27T00:05:05.029+02:00","270","27","Wednesday","0.08472222222222221","19","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506463509094","7200000","2017-09-27T00:05:09.094+02:00","270","27","Wednesday","0.08583333333333333","20","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506498277698","7200000","2017-09-27T09:44:37.698+02:00","270","27","Wednesday","9.743611111111111","21","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506505488898","7200000","2017-09-27T11:44:48.898+02:00","270","27","Wednesday","11.746666666666666","22","Temperature Inside",,,,,,,,,"18",,,,,,,,,,,,,,,,,
"1506505510189","7200000","2017-09-27T11:45:10.189+02:00","270","27","Wednesday","11.752777777777778","23","Temperature Outside",,,,,,,,,"16",,,,,,,,,,,,,,,,,
"1506511936027","7200000","2017-09-27T13:32:16.027+02:00","270","27","Wednesday","13.537777777777778","24","Coffee",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506512381693","7200000","2017-09-27T13:39:41.693+02:00","270","27","Wednesday","13.661388888888888","25","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506512882418","7200000","2017-09-27T13:48:02.418+02:00","270","27","Wednesday","13.800555555555556","26","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506517978257","7200000","2017-09-27T15:12:58.257+02:00","270","27","Wednesday","15.216111111111111","27","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506528766311","7200000","2017-09-27T18:12:46.311+02:00","270","27","Wednesday","18.212777777777777","28","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506551769027","7200000","2017-09-28T00:36:09.027+02:00","271","28","Thursday","0.6024999999999999","29","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506572554101","7200000","2017-09-28T06:22:34.101+02:00","271","28","Thursday","6.376111111111111","30","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506573601358","7200000","2017-09-28T06:40:01.358+02:00","271","28","Thursday","6.666944444444445","31","Temperature Inside",,,,,,,,,"17",,,,,,,,,,,,,,,,,
"1506573619828","7200000","2017-09-28T06:40:19.828+02:00","271","28","Thursday","6.671944444444445","32","Temperature Outside",,,,,,,,,"12",,,,,,,,,,,,,,,,,
"1506589703559","7200000","2017-09-28T11:08:23.559+02:00","271","28","Thursday","11.139722222222222","34","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506594309342","7200000","2017-09-28T12:25:09.342+02:00","271","28","Thursday","12.419166666666667","33","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506598036210","7200000","2017-09-28T13:27:16.210+02:00","271","28","Thursday","13.454444444444444","35","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506622990742","7200000","2017-09-28T20:23:10.742+02:00","271","28","Thursday","20.386111111111113","36","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506639941295","7200000","2017-09-29T01:05:41.295+02:00","272","29","Friday","1.0947222222222222","37","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506670379945","7200000","2017-09-29T09:32:59.945+02:00","272","29","Friday","9.549722222222222","38","Water",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506670384700","7200000","2017-09-29T09:33:04.700+02:00","272","29","Friday","9.551111111111112","39","Toilet #1",,,,,,,,,,,,,,,,,,,,,,,,,,
"1506670813583","7200000","2017-09-29T09:40:13.583+02:00","272","29","Friday","9.670277777777777","48","Temperature Outside",,,,,,,,,"17",,,,,,,,,,,,,,,,,
